userID;username;group;points;level;startTime;endTime;overallDuration;overallDurationSec;durationTask1;durationTask2;durationTask3;durationTask4;durationTask5;durationTask6;taskTimes
940;ScriptSusan;3;37;6;2021-03-06 10:16:21.344000;2021-03-06 11:57:24.975000;1:41:03.631000;6.063.631;0.005;61.187;167.777;1.433;62.125;242.535;"[[""2021-03-06T10:42:23.081Z"",""2021-03-06T10:42:23.086Z"",0.005],[""2021-03-06T11:17:44.205Z"",""2021-03-06T11:18:45.392Z"",61.187],[""2021-03-06T11:26:05.423Z"",""2021-03-06T11:28:53.200Z"",167.777],[""2021-03-06T11:43:59.621Z"",""2021-03-06T11:44:01.054Z"",1.433],[""2021-03-06T11:47:57.600Z"",""2021-03-06T11:48:59.725Z"",62.125],[""2021-03-06T11:53:22.440Z"",""2021-03-06T11:57:24.975Z"",242.535]]"
120;UbuntuUgo;4;58;6;2021-03-13 09:43:54.379000;2021-03-13 12:16:38.500000;2:32:44.121000;9.164.121;0.003;1.349;24.162;837.747;310.323;107.515;"[[""2021-03-13T10:10:00.557Z"",""2021-03-13T10:10:00.560Z"",0.003],[""2021-03-13T10:34:33.486Z"",""2021-03-13T10:34:34.835Z"",1.349],[""2021-03-13T10:46:44.806Z"",""2021-03-13T10:47:08.968Z"",24.162],[""2021-03-13T11:13:41.809Z"",""2021-03-13T11:27:39.556Z"",837.747],[""2021-03-13T12:04:40.001Z"",""2021-03-13T12:09:50.324Z"",310.323],[""2021-03-13T12:14:50.985Z"",""2021-03-13T12:16:38.500Z"",107.515]]"
126;MacroMarco;4;33;6;2021-03-14 14:13:42.161000;2021-03-14 16:44:16.989000;2:30:34.828000;9.034.828;0.091;0.18;94.162;66.246;0.005;104.996;"[[""2021-03-14T14:38:44.467Z"",""2021-03-14T14:38:44.558Z"",0.091],[""2021-03-14T14:53:25.784Z"",""2021-03-14T14:53:25.964Z"",0.18],[""2021-03-14T15:41:45.384Z"",""2021-03-14T15:43:19.546Z"",94.162],[""2021-03-14T16:07:54.218Z"",""2021-03-14T16:09:00.464Z"",66.246],[""2021-03-14T16:31:42.690Z"",""2021-03-14T16:31:42.695Z"",0.005],[""2021-03-14T16:42:31.993Z"",""2021-03-14T16:44:16.989Z"",104.996]]"
129;SyntaxStelios;4;100;6;2021-03-06 17:09:56.117000;2021-03-06 17:58:39.518000;0:48:43.401000;2.923.401;0.003;1.971;50.96;211.063;0.005;0.003;"[[""2021-03-06T17:20:18.033Z"",""2021-03-06T17:20:18.036Z"",0.003],[""2021-03-06T17:30:31.388Z"",""2021-03-06T17:30:33.359Z"",1.971],[""2021-03-06T17:38:08.582Z"",""2021-03-06T17:38:59.542Z"",50.96],[""2021-03-06T17:45:17.875Z"",""2021-03-06T17:48:48.938Z"",211.063],[""2021-03-06T17:53:14.605Z"",""2021-03-06T17:53:14.610Z"",0.005],[""2021-03-06T17:58:39.515Z"",""2021-03-06T17:58:39.518Z"",0.003]]"
190;FileFiona;4;84;6;2021-03-06 17:10:08.486000;2021-03-06 17:56:26.669000;0:46:18.183000;2.778.183;0.003;0.005;46.433;0.001;0.003;0.007;"[[""2021-03-06T17:18:56.315Z"",""2021-03-06T17:18:56.318Z"",0.003],[""2021-03-06T17:28:38.909Z"",""2021-03-06T17:28:38.914Z"",0.005],[""2021-03-06T17:30:43.365Z"",""2021-03-06T17:31:29.798Z"",46.433],[""2021-03-06T17:46:18.210Z"",""2021-03-06T17:46:18.211Z"",0.001],[""2021-03-06T17:52:18.601Z"",""2021-03-06T17:52:18.604Z"",0.003],[""2021-03-06T17:56:26.662Z"",""2021-03-06T17:56:26.669Z"",0.007]]"
230;ExcelEsther;4;47;6;2021-03-06 17:15:23.401000;2021-03-06 18:20:39.726000;1:05:16.325000;3.916.325;0.003;3.875;126.298;187.115;99.811;108.075;"[[""2021-03-06T17:25:55.643Z"",""2021-03-06T17:25:55.646Z"",0.003],[""2021-03-06T17:34:07.194Z"",""2021-03-06T17:34:11.069Z"",3.875],[""2021-03-06T17:40:35.099Z"",""2021-03-06T17:42:41.397Z"",126.298],[""2021-03-06T17:49:44.989Z"",""2021-03-06T17:52:52.104Z"",187.115],[""2021-03-06T18:08:05.579Z"",""2021-03-06T18:09:45.390Z"",99.811],[""2021-03-06T18:18:51.651Z"",""2021-03-06T18:20:39.726Z"",108.075]]"
239;SwitchSandra;4;85;6;2021-03-06 17:12:23.747000;2021-03-06 18:19:08.587000;1:06:44.840000;4004.84;0.003;Sep 53;91.427;41.817;24.228;329.737;"[[""2021-03-06T17:26:27.072Z"",""2021-03-06T17:26:27.075Z"",0.003],[""2021-03-06T17:38:38.943Z"",""2021-03-06T17:38:48.473Z"",9.53],[""2021-03-06T17:43:17.300Z"",""2021-03-06T17:44:48.727Z"",91.427],[""2021-03-06T17:55:19.156Z"",""2021-03-06T17:56:00.973Z"",41.817],[""2021-03-06T18:03:08.031Z"",""2021-03-06T18:03:32.259Z"",24.228],[""2021-03-06T18:13:38.850Z"",""2021-03-06T18:19:08.587Z"",329.737]]"
294;TcpTobias;4;53;6;2021-03-11 10:30:20.775000;2021-03-11 12:06:00.736000;1:35:39.961000;5.739.961;0.002;62.677;391.379;842.914;135.06;261.281;"[[""2021-03-11T10:45:32.898Z"",""2021-03-11T10:45:32.900Z"",0.002],[""2021-03-11T10:56:08.145Z"",""2021-03-11T10:57:10.822Z"",62.677],[""2021-03-11T11:08:09.748Z"",""2021-03-11T11:14:41.127Z"",391.379],[""2021-03-11T11:25:06.161Z"",""2021-03-11T11:39:09.075Z"",842.914],[""2021-03-11T11:50:48.290Z"",""2021-03-11T11:53:03.350Z"",135.06],[""2021-03-11T12:01:39.455Z"",""2021-03-11T12:06:00.736Z"",261.281]]"
473;ElasticEvan;4;84;6;2021-03-12 11:27:59.710000;2021-03-12 13:01:15.635000;1:33:15.925000;5.595.925;0.002;2.427;10.966;0.003;0.002;234.676;"[[""2021-03-12T11:44:02.998Z"",""2021-03-12T11:44:03.000Z"",0.002],[""2021-03-12T11:56:15.492Z"",""2021-03-12T11:56:17.919Z"",2.427],[""2021-03-12T12:18:55.098Z"",""2021-03-12T12:19:06.064Z"",10.966],[""2021-03-12T12:43:23.480Z"",""2021-03-12T12:43:23.483Z"",0.003],[""2021-03-12T12:47:50.436Z"",""2021-03-12T12:47:50.438Z"",0.002],[""2021-03-12T12:57:20.959Z"",""2021-03-12T13:01:15.635Z"",234.676]]"
492;OpensourceOlga;4;89;6;2021-03-11 12:19:05.443000;2021-03-11 14:07:10.830000;1:48:05.387000;6.485.387;0.008;21.754;839.851;76.16;0.007;23.384;"[[""2021-03-11T12:37:04.662Z"",""2021-03-11T12:37:04.670Z"",0.008],[""2021-03-11T12:48:51.159Z"",""2021-03-11T12:49:12.913Z"",21.754],[""2021-03-11T12:53:36.846Z"",""2021-03-11T13:07:36.697Z"",839.851],[""2021-03-11T13:30:06.291Z"",""2021-03-11T13:31:22.451Z"",76.16],[""2021-03-11T14:00:42.587Z"",""2021-03-11T14:00:42.594Z"",0.007],[""2021-03-11T14:06:47.446Z"",""2021-03-11T14:07:10.830Z"",23.384]]"
521;AlgorithmAnna;4;42;6;2021-03-06 17:06:10.965000;2021-03-06 18:42:00.074000;1:35:49.109000;5.749.109;0.004;0.002;59.794;0.002;90.785;175.218;"[[""2021-03-06T17:25:13.830Z"",""2021-03-06T17:25:13.834Z"",0.004],[""2021-03-06T17:46:18.784Z"",""2021-03-06T17:46:18.786Z"",0.002],[""2021-03-06T17:50:10.152Z"",""2021-03-06T17:51:09.946Z"",59.794],[""2021-03-06T18:11:42.292Z"",""2021-03-06T18:11:42.294Z"",0.002],[""2021-03-06T18:26:38.123Z"",""2021-03-06T18:28:08.908Z"",90.785],[""2021-03-06T18:39:04.856Z"",""2021-03-06T18:42:00.074Z"",175.218]]"
895;DatabaseDaniel;4;38;6;2021-03-06 17:00:22.091000;2021-03-06 18:54:27.703000;1:54:05.612000;6.845.612;0.003;Dez 65;95.581;775.092;165.065;303.301;"[[""2021-03-06T17:17:12.985Z"",""2021-03-06T17:17:12.988Z"",0.003],[""2021-03-06T17:40:02.906Z"",""2021-03-06T17:40:15.556Z"",12.65],[""2021-03-06T17:49:14.525Z"",""2021-03-06T17:50:50.106Z"",95.581],[""2021-03-06T18:08:15.465Z"",""2021-03-06T18:21:10.557Z"",775.092],[""2021-03-06T18:45:44.309Z"",""2021-03-06T18:48:29.374Z"",165.065],[""2021-03-06T18:49:24.402Z"",""2021-03-06T18:54:27.703Z"",303.301]]"
123;LinuxLisa;5;93;6;2021-03-05 19:03:25.824000;2021-03-05 20:12:03.187000;1:08:37.363000;4.117.363;0.003;8.121;178.739;244.291;0.01;19.457;"[[""2021-03-05T19:34:38.972Z"",""2021-03-05T19:34:38.975Z"",0.003],[""2021-03-05T19:39:44.652Z"",""2021-03-05T19:39:52.773Z"",8.121],[""2021-03-05T19:46:08.371Z"",""2021-03-05T19:49:07.110Z"",178.739],[""2021-03-05T19:53:54.908Z"",""2021-03-05T19:57:59.199Z"",244.291],[""2021-03-05T20:04:22.690Z"",""2021-03-05T20:04:22.700Z"",0.01],[""2021-03-05T20:11:43.730Z"",""2021-03-05T20:12:03.187Z"",19.457]]"
244;ErrorEric;5;29;6;2021-03-05 19:48:41.775000;2021-03-05 20:24:23.909000;0:35:42.134000;2.142.134;0.003;9.399;204.892;127.282;73.272;96.649;"[[""2021-03-05T20:00:30.084Z"",""2021-03-05T20:00:30.087Z"",0.003],[""2021-03-05T20:03:24.562Z"",""2021-03-05T20:03:33.961Z"",9.399],[""2021-03-05T20:04:44.465Z"",""2021-03-05T20:08:09.357Z"",204.892],[""2021-03-05T20:13:49.530Z"",""2021-03-05T20:15:56.812Z"",127.282],[""2021-03-05T20:17:07.126Z"",""2021-03-05T20:18:20.398Z"",73.272],[""2021-03-05T20:22:47.260Z"",""2021-03-05T20:24:23.909Z"",96.649]]"
773;MicrosoftMilo;5;37;5;2021-03-05 19:01:37.267000;2021-03-05 20:37:53.299000;1:36:16.032000;5.776.032;0.004;301.774;681.779;392.951;37.75;;"[[""2021-03-05T19:10:43.716Z"",""2021-03-05T19:10:43.720Z"",0.004],[""2021-03-05T19:33:54.538Z"",""2021-03-05T19:38:56.312Z"",301.774],[""2021-03-05T19:47:21.674Z"",""2021-03-05T19:58:43.453Z"",681.779],[""2021-03-05T20:28:34.159Z"",""2021-03-05T20:35:07.110Z"",392.951],[""2021-03-05T20:37:15.549Z"",""2021-03-05T20:37:53.299Z"",37.75]]"
290;AliceInWonderland;5;36;2;2021-03-06 10:29:44.434000;2021-03-06 11:36:21.297000;1:06:36.863000;3.996.863;0.003;126.187;;;;;"[[""2021-03-06T10:53:50.514Z"",""2021-03-06T10:53:50.517Z"",0.003],[""2021-03-06T11:34:15.110Z"",""2021-03-06T11:36:21.297Z"",126.187]]"
